Year,Home,hFGM,hFGA,hFGpercent,h3PM,h3PA,h3Ppercent,hFTM,hFTA,hOREB,hDREB,hTO,hPoints,Away,aFGM,aFGA,aFGpercent,a3PM,a3PA,a3Ppercent,aFTM,aFTA,aOREB,aDREB,aTO,aPoints,HTWon,heFG,hTOV,hORB,hDRB,hFTF,aeFG,aTOV,aORB,aDRB,aFTF
2018-2019,Queens,24,62,38.7,9,26,34.6,15,18,14,35,23,72,Laurentian,15,61,24.6,8,35,22.9,8,13,11,23,26,46,1,0.459677419,0.291434364,0.378378378,0.760869565,0.241935484,0.31147541,0.318159569,0.239130435,0.621621622,0.131147541
2018-2019,Waterloo,11,48,22.9,3,13,23.1,19,28,8,22,34,44,McMaster,37,87,42.5,10,27,37,9,11,18,26,14,93,0,0.260416667,0.393883225,0.235294118,0.55,0.395833333,0.482758621,0.159380692,0.45,0.764705882,0.103448276
2018-2019,Windsor,33,74,44.6,6,18,33.3,13,19,17,22,8,85,Guelph,26,66,39.4,6,16,37.5,12,20,15,20,15,70,1,0.486486486,0.109051254,0.459459459,0.594594595,0.175675676,0.439393939,0.200534759,0.405405405,0.540540541,0.181818182
2018-2019,York,23,64,35.9,6,22,27.3,26,41,19,23,21,78,Nipissing,21,59,35.6,4,13,30.8,23,28,10,18,17,69,1,0.40625,0.249881009,0.513513514,0.696969697,0.40625,0.389830508,0.217058223,0.303030303,0.486486486,0.389830508
2018-2019,McMaster,25,79,31.6,6,38,15.8,18,22,25,38,9,74,Brock,19,58,32.8,7,24,29.2,12,17,4,32,13,57,1,0.35443038,0.12383049,0.438596491,0.904761905,0.227848101,0.387931034,0.174543502,0.095238095,0.561403509,0.206896552
2018-2019,Western,19,61,31.1,8,27,29.6,8,10,8,29,20,54,Wilfrid Laurier,23,60,38.3,2,13,15.4,13,17,7,29,17,61,0,0.37704918,0.258397933,0.216216216,0.805555556,0.131147541,0.4,0.219411461,0.194444444,0.783783784,0.216666667
2018-2019,Algoma,25,59,42.4,4,21,19,16,24,9,28,20,70,Guelph,32,74,43.2,7,20,35,8,15,16,26,15,79,0,0.457627119,0.248262165,0.257142857,0.636363636,0.271186441,0.47972973,0.188442211,0.363636364,0.742857143,0.108108108
2018-2019,Brock,23,74,31.1,6,23,26.1,14,23,17,29,14,66,Windsor,26,64,40.6,6,20,30,13,30,17,40,21,71,0,0.351351351,0.172583826,0.298245614,0.630434783,0.189189189,0.453125,0.25862069,0.369565217,0.701754386,0.203125
2018-2019,Carleton,19,64,29.7,3,26,11.5,11,15,12,32,15,52,Ottawa,18,65,27.7,8,21,38.1,17,24,11,31,12,61,0,0.3203125,0.203804348,0.279069767,0.744186047,0.171875,0.338461538,0.156739812,0.255813953,0.720930233,0.261538462
2018-2019,Nipissing,23,68,33.8,8,27,29.6,10,14,9,22,12,64,Laurentian,28,75,37.3,11,29,37.9,8,12,13,28,8,75,0,0.397058824,0.155520995,0.243243243,0.628571429,0.147058824,0.446666667,0.106269926,0.371428571,0.756756757,0.106666667
2018-2019,Queens,29,72,40.3,3,15,20,19,27,18,35,18,80,York,30,75,40,4,24,16.7,0,6,10,24,16,64,1,0.423611111,0.214592275,0.428571429,0.777777778,0.263888889,0.426666667,0.191296031,0.222222222,0.571428571,0
2018-2019,Toronto,18,66,27.3,2,25,8,4,8,12,26,14,42,Ryerson,22,59,37.3,0,15,0,9,16,14,34,17,53,0,0.287878788,0.195749441,0.260869565,0.65,0.060606061,0.372881356,0.246234067,0.35,0.739130435,0.152542373
2018-2019,Waterloo,14,57,24.6,2,18,11.1,15,16,8,23,26,45,Lakehead,26,71,36.6,7,26,26.9,10,14,12,26,17,69,0,0.263157895,0.316918576,0.235294118,0.657142857,0.263157895,0.415492958,0.20691334,0.342857143,0.764705882,0.14084507
2018-2019,Algoma,29,60,48.3,14,30,46.7,19,30,12,25,21,91,Guelph,32,62,51.6,7,19,36.8,12,19,5,17,11,83,1,0.6,0.255474453,0.413793103,0.833333333,0.316666667,0.572580645,0.144054479,0.166666667,0.586206897,0.193548387
2018-2019,McMaster,27,81,33.3,4,29,13.8,7,10,20,36,11,65,Western,16,55,29.1,3,22,13.6,6,13,10,37,26,41,1,0.358024691,0.143979058,0.350877193,0.782608696,0.086419753,0.318181818,0.338894682,0.217391304,0.649122807,0.109090909
2018-2019,Waterloo,16,45,35.6,3,16,18.8,11,16,10,29,25,46,Lakehead,26,81,32.1,6,28,21.4,6,11,19,15,8,64,0,0.388888889,0.372911695,0.4,0.604166667,0.244444444,0.358024691,0.106894709,0.395833333,0.6,0.074074074
2018-2019,Wilfrid Laurier,21,56,37.5,1,10,10,16,17,5,19,10,59,Windsor,34,71,47.9,8,21,38.1,9,15,16,27,11,85,0,0.383928571,0.146028037,0.15625,0.542857143,0.285714286,0.535211268,0.151515152,0.457142857,0.84375,0.126760563
2018-2019,Brock,27,72,37.5,11,25,44,9,10,10,34,8,74,Waterloo,16,58,27.6,4,19,21.1,11,21,12,35,17,47,1,0.451388889,0.107526882,0.222222222,0.739130435,0.125,0.310344828,0.235326689,0.260869565,0.777777778,0.189655172
2018-2019,Algoma,18,46,39.1,6,18,33.3,9,12,4,22,26,51,McMaster,31,75,41.3,10,29,34.5,14,15,12,19,11,86,0,0.456521739,0.354803493,0.173913043,0.647058824,0.195652174,0.48,0.136476427,0.352941176,0.826086957,0.186666667
2018-2019,Guelph,29,82,35.4,6,19,31.6,15,21,15,21,12,79,Windsor,31,62,50,7,20,35,5,13,9,25,22,74,1,0.390243902,0.135992747,0.375,0.7,0.182926829,0.556451613,0.272547076,0.3,0.625,0.080645161
2018-2019,Laurentian,28,78,35.9,11,37,29.7,13,22,13,43,22,80,Toronto,24,75,32,8,27,29.6,27,37,12,38,18,83,0,0.429487179,0.22755482,0.254901961,0.781818182,0.166666667,0.373333333,0.185032895,0.218181818,0.745098039,0.36
2018-2019,Nipissing,16,64,25,6,17,35.3,6,12,10,23,13,44,Ryerson,33,77,42.9,7,16,43.8,7,10,15,37,12,80,0,0.296875,0.179856115,0.212765957,0.605263158,0.09375,0.474025974,0.153061224,0.394736842,0.787234043,0.090909091
2018-2019,Queens,13,64,20.3,4,20,20,10,20,18,27,25,40,Ottawa,27,70,38.6,7,20,35,8,13,16,33,18,69,0,0.234375,0.313283208,0.352941176,0.627906977,0.15625,0.435714286,0.231600618,0.372093023,0.647058824,0.114285714
2018-2019,Wilfrid Laurier,17,63,27,2,16,12.5,2,2,9,23,18,38,Lakehead,28,77,36.4,6,18,33.3,9,14,16,33,7,71,0,0.285714286,0.246981339,0.214285714,0.58974359,0.031746032,0.402597403,0.094390507,0.41025641,0.785714286,0.116883117
2018-2019,York,16,51,31.4,4,14,28.6,11,20,4,26,29,47,Carleton,23,54,42.6,2,7,28.6,18,26,9,21,24,66,0,0.352941176,0.341981132,0.16,0.742857143,0.215686275,0.444444444,0.298359025,0.257142857,0.84,0.333333333
2018-2019,Algoma,13,49,26.5,3,15,20,18,25,7,24,21,47,McMaster,37,78,47.4,9,28,32.1,19,29,8,25,14,102,0,0.295918367,0.283783784,0.21875,0.75,0.367346939,0.532051282,0.144687888,0.25,0.78125,0.243589744
2018-2019,Brock,25,66,37.9,10,31,32.3,6,8,12,35,9,66,Western,13,57,22.8,5,28,17.9,6,11,11,29,18,37,1,0.454545455,0.135297655,0.292682927,0.760869565,0.090909091,0.271929825,0.261475886,0.239130435,0.707317073,0.105263158
2018-2019,Guelph,32,79,40.5,11,26,42.3,18,22,10,38,11,93,Waterloo,23,73,31.5,2,15,13.3,15,23,5,30,13,63,1,0.474683544,0.122658341,0.25,0.88372093,0.227848101,0.328767123,0.142669008,0.11627907,0.75,0.205479452
2018-2019,Laurentian,23,49,46.9,9,16,56.2,13,21,4,17,13,68,Ryerson,26,57,45.6,8,13,61.5,23,32,15,21,14,83,0,0.56122449,0.193337299,0.16,0.53125,0.265306122,0.526315789,0.199771689,0.46875,0.84,0.403508772
2018-2019,Nipissing,20,60,33.3,5,9,55.6,11,15,15,24,21,56,Toronto,24,59,40.7,5,6,83.3,11,14,11,30,15,64,0,0.375,0.289256198,0.333333333,0.685714286,0.183333333,0.449152542,0.216888375,0.314285714,0.666666667,0.186440678
2018-2019,Queens,27,75,36,5,23,21.7,15,24,18,30,9,74,Carleton,30,74,40.5,3,13,23.1,7,10,12,32,14,70,1,0.393333333,0.117554859,0.36,0.714285714,0.2,0.425675676,0.174129353,0.285714286,0.64,0.094594595
2018-2019,Wilfrid Laurier,19,65,29.2,4,11,36.4,17,19,15,22,17,59,Lakehead,29,72,40.3,9,25,36,9,12,15,24,17,76,0,0.323076923,0.225583864,0.384615385,0.594594595,0.261538462,0.465277778,0.214429869,0.405405405,0.615384615,0.125
2018-2019,York,16,56,28.6,2,15,13.3,16,22,11,19,20,50,Ottawa,29,71,40.8,6,18,33.3,14,18,15,26,17,78,0,0.303571429,0.26780932,0.297297297,0.558823529,0.285714286,0.450704225,0.210084034,0.441176471,0.702702703,0.197183099
2018-2019,Western,13,58,22.4,2,18,11.1,11,14,11,22,18,39,Windsor,32,79,40.5,7,28,25,6,7,22,28,11,77,0,0.24137931,0.252951096,0.282051282,0.5,0.189655172,0.449367089,0.154755205,0.5,0.717948718,0.075949367
2018-2019,McMaster,37,88,42,9,29,31,8,11,18,25,12,91,Guelph,28,77,36.4,5,13,38.5,11,14,22,33,27,72,1,0.471590909,0.138185168,0.352941176,0.531914894,0.090909091,0.396103896,0.306261343,0.468085106,0.647058824,0.142857143
2018-2019,Waterloo,19,59,32.2,6,20,30,10,15,10,26,17,54,Western,15,54,27.8,5,16,31.2,10,15,8,27,18,45,1,0.372881356,0.23415978,0.27027027,0.764705882,0.169491525,0.324074074,0.254957507,0.235294118,0.72972973,0.185185185
2018-2019,Carleton,26,63,41.3,8,27,29.6,12,16,13,32,18,72,Nipissing,9,55,16.4,4,22,18.2,14,19,6,18,20,36,1,0.476190476,0.239872068,0.419354839,0.842105263,0.19047619,0.2,0.258531541,0.157894737,0.580645161,0.254545455
2018-2019,Lakehead,36,78,46.2,9,24,37.5,9,13,20,24,7,90,Brock,20,53,37.7,11,30,36.7,2,7,5,21,18,53,1,0.519230769,0.0989819,0.487804878,0.827586207,0.115384615,0.481132075,0.260567458,0.172413793,0.512195122,0.037735849
2018-2019,Ottawa,23,61,37.7,7,20,35,13,21,13,31,19,66,Laurentian,21,59,35.6,10,21,47.6,12,18,6,28,11,64,1,0.43442623,0.249213012,0.317073171,0.837837838,0.213114754,0.440677966,0.15294772,0.162162162,0.682926829,0.203389831
2018-2019,Ryerson,23,58,39.7,7,16,43.8,16,24,11,23,20,69,York,27,64,42.2,5,17,29.4,13,18,15,28,23,72,0,0.456896552,0.257864879,0.282051282,0.605263158,0.275862069,0.4609375,0.287787788,0.394736842,0.717948718,0.203125
2018-2019,Toronto,19,61,31.1,3,19,15.8,10,14,9,19,19,51,Queen's,20,45,44.4,6,16,37.5,13,20,8,33,28,59,0,0.336065574,0.246241576,0.214285714,0.703703704,0.163934426,0.511111111,0.379403794,0.296296296,0.785714286,0.288888889
2018-2019,Windsor,31,63,49.2,9,27,33.3,11,18,11,28,16,82,Algoma,17,51,33.3,7,19,36.8,19,26,5,17,17,60,1,0.563492063,0.210748156,0.392857143,0.848484848,0.174603175,0.401960784,0.228371843,0.151515152,0.607142857,0.37254902
2018-2019,Wilfrid Laurier,23,65,35.4,4,15,26.7,21,26,8,32,7,71,Waterloo,24,68,35.3,4,17,23.5,11,25,10,29,10,63,1,0.384615385,0.092788971,0.216216216,0.761904762,0.323076923,0.382352941,0.126582278,0.238095238,0.783783784,0.161764706
2018-2019,Carleton,24,63,38.1,7,22,31.8,9,13,15,30,16,64,Laurentian,16,57,28.1,6,23,26.1,8,9,5,20,16,46,1,0.436507937,0.229489386,0.428571429,0.857142857,0.142857143,0.333333333,0.222345748,0.142857143,0.571428571,0.140350877
2018-2019,Guelph,26,75,34.7,2,15,13.3,6,13,12,25,15,60,Wilfrid Laurier,22,56,39.3,6,14,42.9,9,15,4,27,21,59,1,0.36,0.179168657,0.307692308,0.862068966,0.08,0.446428571,0.263819095,0.137931034,0.692307692,0.160714286
2018-2019,Lakehead,37,67,55.2,16,32,50,8,10,5,34,15,98,Brock,20,59,33.9,5,25,20,20,30,7,22,13,65,1,0.671641791,0.184275184,0.185185185,0.829268293,0.119402985,0.381355932,0.166240409,0.170731707,0.814814815,0.338983051
2018-2019,Ottawa,40,85,47.1,8,29,27.6,7,7,21,30,11,95,Nipissing,18,55,32.7,6,23,26.1,16,22,6,25,19,58,1,0.517647059,0.140881148,0.456521739,0.833333333,0.082352941,0.381818182,0.244593203,0.166666667,0.543478261,0.290909091
2018-2019,Ryerson,24,67,35.8,3,14,21.4,19,22,12,23,12,70,Queen's,26,58,44.8,7,16,43.8,15,22,12,34,17,74,0,0.380597015,0.156494523,0.260869565,0.657142857,0.28358209,0.50862069,0.233902036,0.342857143,0.739130435,0.25862069
2018-2019,Toronto,17,70,24.3,3,19,15.8,16,23,14,30,12,53,York,22,66,33.3,4,18,22.2,17,21,17,42,23,65,0,0.264285714,0.153609831,0.25,0.638297872,0.228571429,0.363636364,0.283111768,0.361702128,0.75,0.257575758
2018-2019,Western,15,64,23.4,6,24,25,8,14,12,29,21,44,McMaster,39,87,44.8,10,38,26.3,10,16,19,33,8,98,0,0.28125,0.265285498,0.266666667,0.604166667,0.125,0.505747126,0.096339114,0.395833333,0.733333333,0.114942529
2018-2019,Windsor,32,69,46.4,5,18,27.8,8,13,12,30,10,77,Algoma,20,56,35.7,8,23,34.8,14,18,5,17,14,62,1,0.5,0.137513751,0.413793103,0.857142857,0.115942029,0.428571429,0.191991223,0.142857143,0.586206897,0.25
2019-2020,Windsor,38,76,50,8,28,28.6,10,13,15,30,13,94,Western,24,59,40.7,4,10,40,16,35,13,13,20,68,1,0.552631579,0.163070748,0.535714286,0.697674419,0.131578947,0.440677966,0.245700246,0.302325581,0.464285714,0.271186441
2019-2020,Wilfrid Laurier,21,58,36.2,3,15,20,7,12,12,24,18,52,Toronto,20,64,31.2,3,23,13,7,11,15,23,12,50,1,0.387931034,0.259815242,0.342857143,0.615384615,0.120689655,0.3359375,0.182260024,0.384615385,0.657142857,0.109375
2019-2020,Ryerson,28,76,36.8,11,32,34.4,10,18,22,30,19,77,York,18,58,31,7,20,35,16,26,15,30,27,59,1,0.440789474,0.234799802,0.423076923,0.666666667,0.131578947,0.370689655,0.331532417,0.333333333,0.576923077,0.275862069
2019-2020,Lakehead,20,69,29,4,21,19,11,13,10,29,17,55,McMaster,31,80,38.8,5,29,17.2,13,22,13,27,18,80,0,0.31884058,0.208027411,0.27027027,0.69047619,0.15942029,0.41875,0.190114068,0.30952381,0.72972973,0.1625
2019-2020,Laurentian,24,60,40,9,33,27.3,11,14,6,39,18,68,Ontario Tech,15,61,24.6,6,20,30,12,19,11,31,18,48,1,0.475,0.230296827,0.162162162,0.78,0.183333333,0.295081967,0.235725511,0.22,0.837837838,0.196721311
2019-2020,Nipissing,21,69,30.4,6,27,22.2,5,8,13,23,25,53,Queen's,33,67,49.3,11,26,42.3,15,31,13,29,19,92,0,0.347826087,0.295787979,0.30952381,0.638888889,0.072463768,0.574626866,0.219298246,0.361111111,0.69047619,0.223880597
2019-2020,Brock,23,74,31.1,6,30,20,16,20,17,23,12,68,Ryerson,20,65,30.8,6,29,20.7,12,14,12,28,17,58,1,0.351351351,0.154241645,0.377777778,0.657142857,0.216216216,0.353846154,0.223214286,0.342857143,0.622222222,0.184615385
2019-2020,Lakehead,23,73,31.5,7,25,28,12,22,18,27,12,65,McMaster,23,69,33.3,6,29,20.7,15,27,13,27,7,67,0,0.363013699,0.156494523,0.4,0.675,0.164383562,0.376811594,0.093482906,0.325,0.6,0.217391304
2019-2020,Laurentian,24,57,42.1,8,26,30.8,17,26,12,35,24,73,Queen's,24,74,32.4,8,29,27.6,18,27,21,26,15,74,0,0.49122807,0.298359025,0.315789474,0.625,0.298245614,0.378378378,0.187781673,0.375,0.684210526,0.243243243
2019-2020,Nipissing,30,70,42.9,9,23,39.1,11,14,11,32,12,80,Ontario Tech,19,61,31.1,8,21,38.1,12,22,9,23,18,58,1,0.492857143,0.155520995,0.323529412,0.780487805,0.157142857,0.37704918,0.225903614,0.219512195,0.676470588,0.196721311
2019-2020,Western,25,76,32.9,3,19,15.8,21,26,21,44,15,74,Waterloo,15,70,21.4,5,28,17.9,16,25,16,23,22,51,1,0.348684211,0.184184676,0.477272727,0.733333333,0.276315789,0.25,0.252873563,0.266666667,0.522727273,0.228571429
2019-2020,Windsor,31,75,41.3,10,35,28.6,7,13,18,22,10,79,Wilfrid Laurier,19,52,36.5,5,15,33.3,17,20,6,21,22,60,1,0.48,0.137513751,0.461538462,0.785714286,0.093333333,0.413461538,0.286458333,0.214285714,0.538461538,0.326923077
2019-2020,York,27,72,37.5,10,28,35.7,7,11,11,33,16,71,Algoma,15,57,26.3,6,20,30,13,22,11,28,22,49,1,0.444444444,0.195503421,0.282051282,0.75,0.097222222,0.315789474,0.283213182,0.25,0.717948718,0.228070175
2019-2020,Brock,26,72,36.1,7,22,31.8,16,21,14,32,17,75,McMaster,22,67,32.8,8,31,25.8,9,13,8,28,22,61,1,0.409722222,0.201804368,0.333333333,0.8,0.222222222,0.388059701,0.253690037,0.2,0.666666667,0.134328358
2019-2020,Algoma,18,64,28.1,5,34,14.7,2,5,10,16,19,43,Western,27,66,40.9,3,19,15.8,10,14,12,30,21,67,0,0.3203125,0.252659574,0.25,0.571428571,0.03125,0.431818182,0.258748152,0.428571429,0.75,0.151515152
2019-2020,Carleton,26,64,40.6,10,20,50,12,24,18,27,17,74,Waterloo,17,59,28.8,5,23,21.7,6,8,8,18,17,45,1,0.484375,0.231103861,0.5,0.771428571,0.1875,0.330508475,0.237695749,0.228571429,0.5,0.101694915
2019-2020,Laurentian,22,67,32.8,4,21,19,13,18,8,29,15,61,Windsor,23,68,33.8,6,27,22.2,13,28,21,34,19,65,0,0.358208955,0.183105469,0.19047619,0.58,0.194029851,0.382352941,0.242594484,0.42,0.80952381,0.191176471
2019-2020,Ottawa,37,75,49.3,3,16,18.8,10,15,11,27,13,87,Wilfrid Laurier,18,49,36.7,2,15,13.3,12,19,6,29,32,50,1,0.513333333,0.155502392,0.275,0.818181818,0.133333333,0.387755102,0.383877159,0.181818182,0.725,0.244897959
2019-2020,Queens,25,63,39.7,6,24,25,17,25,6,28,17,73,Guelph,29,76,38.2,10,30,33.3,10,13,16,30,22,78,0,0.444444444,0.2,0.166666667,0.636363636,0.26984127,0.447368421,0.250797994,0.363636364,0.833333333,0.131578947
2019-2020,Ryerson,33,61,54.1,11,23,47.8,17,19,8,25,17,94,Lakehead,22,57,38.6,9,25,36,10,17,13,22,29,63,1,0.631147541,0.216947422,0.266666667,0.657894737,0.278688525,0.464912281,0.360337972,0.342105263,0.733333333,0.175438596
2019-2020,York,28,61,45.9,9,27,33.3,9,10,11,25,18,74,Toronto,16,56,28.6,2,16,12.5,5,11,9,14,23,39,1,0.532786885,0.248618785,0.44,0.735294118,0.147540984,0.303571429,0.307322288,0.264705882,0.56,0.089285714
2019-2020,Algoma,21,55,38.2,12,28,42.9,5,8,5,24,20,59,Western,25,68,36.8,6,25,24,14,21,13,23,16,70,0,0.490909091,0.27203482,0.178571429,0.648648649,0.090909091,0.411764706,0.199401795,0.351351351,0.821428571,0.205882353
2019-2020,Carleton,23,75,30.7,3,23,13,11,16,18,22,6,60,Wilfrid Laurier,23,56,41.1,8,26,30.8,5,6,6,29,18,59,1,0.326666667,0.085665334,0.382978723,0.785714286,0.146666667,0.482142857,0.254813137,0.214285714,0.617021277,0.089285714
2019-2020,Guelph,45,76,59.2,11,24,45.8,11,15,14,26,19,112,York,23,68,33.8,3,28,10.7,10,18,15,17,28,59,1,0.664473684,0.216894977,0.451612903,0.634146341,0.144736842,0.360294118,0.314889789,0.365853659,0.548387097,0.147058824
2019-2020,Nipissing,15,61,24.6,3,21,14.3,1,4,8,19,17,34,Windsor,28,75,37.3,8,26,30.8,8,16,22,32,16,72,0,0.270491803,0.23690078,0.2,0.463414634,0.016393443,0.426666667,0.210415571,0.536585366,0.8,0.106666667
2019-2020,Ottawa,35,76,46.1,6,21,28.6,21,26,18,30,22,97,Waterloo,23,62,37.1,3,12,25,12,22,15,23,34,61,1,0.5,0.240594926,0.43902439,0.666666667,0.276315789,0.39516129,0.374944861,0.333333333,0.56097561,0.193548387
2019-2020,Ryerson,28,75,37.3,9,26,34.6,9,16,21,30,14,74,Lakehead,19,54,35.2,4,14,28.6,3,5,7,30,24,45,1,0.433333333,0.186567164,0.411764706,0.810810811,0.12,0.388888889,0.327868852,0.189189189,0.588235294,0.055555556
2019-2020,Toronto,18,56,32.1,8,24,33.3,15,20,11,30,14,59,Brock,28,66,42.4,10,23,43.5,12,19,12,29,8,78,0,0.392857143,0.206489676,0.275,0.714285714,0.267857143,0.5,0.113700966,0.285714286,0.725,0.181818182
2019-2020,Ontario Tech,21,54,38.9,5,14,35.7,17,28,14,13,12,64,Queen's,37,56,66.1,11,20,55,13,19,4,21,10,98,0,0.435185185,0.186567164,0.4,0.764705882,0.314814815,0.758928571,0.142126208,0.235294118,0.6,0.232142857
2019-2020,York,20,69,29,1,16,6.2,10,10,12,32,18,51,Wilfrid Laurier,19,64,29.7,8,28,28.6,6,6,9,29,17,52,0,0.297101449,0.226700252,0.292682927,0.780487805,0.144927536,0.359375,0.227759914,0.219512195,0.707317073,0.09375
2019-2020,Brock,19,60,31.7,7,24,29.2,20,24,10,25,18,65,Guelph,25,70,35.7,6,24,25,16,22,16,28,15,72,0,0.375,0.229124236,0.263157895,0.609756098,0.333333333,0.4,0.190645653,0.390243902,0.736842105,0.228571429
2019-2020,Lakehead,26,69,37.7,3,10,30,13,20,11,25,19,68,Waterloo,19,67,28.4,2,19,10.5,8,15,12,20,23,48,1,0.398550725,0.221445221,0.35483871,0.675675676,0.188405797,0.298507463,0.271867612,0.324324324,0.64516129,0.119402985
2019-2020,Laurentian,24,67,35.8,4,18,22.2,5,7,13,26,18,57,Western,29,85,34.1,3,24,12.5,8,10,31,27,15,69,0,0.388059701,0.239744273,0.325,0.456140351,0.074626866,0.358823529,0.204359673,0.543859649,0.675,0.094117647
2019-2020,McMaster,29,82,35.4,8,32,25,13,17,23,27,12,79,Algoma,17,51,33.3,6,20,30,16,20,8,30,23,56,1,0.402439024,0.152905199,0.433962264,0.771428571,0.158536585,0.392156863,0.307486631,0.228571429,0.566037736,0.31372549
2019-2020,Ontario Tech,15,48,31.2,3,5,60,18,31,7,16,19,51,Ottawa,39,76,51.3,8,14,57.1,12,13,17,28,14,98,0,0.34375,0.25801195,0.2,0.484848485,0.375,0.565789474,0.177845528,0.515151515,0.8,0.157894737
2019-2020,Queens,27,70,38.6,11,27,40.7,11,22,22,24,14,76,Carleton,30,65,46.2,6,20,30,5,6,12,21,19,71,1,0.464285714,0.1953125,0.511627907,0.666666667,0.157142857,0.507692308,0.254555198,0.333333333,0.488372093,0.076923077
2019-2020,Ryerson,27,67,40.3,6,24,25,9,10,11,30,12,69,Windsor,19,64,29.7,7,24,29.2,7,12,19,30,23,52,1,0.447761194,0.165745856,0.268292683,0.612244898,0.134328358,0.3515625,0.313864629,0.387755102,0.731707317,0.109375
2019-2020,Brock,25,68,36.8,8,26,30.8,8,12,11,36,15,66,Algoma,18,63,28.6,10,32,31.2,4,9,4,25,13,50,1,0.426470588,0.194099379,0.305555556,0.9,0.117647059,0.365079365,0.171142707,0.1,0.694444444,0.063492063
2019-2020,Lakehead,22,77,28.6,4,26,15.4,7,10,16,24,16,55,Wilfrid Laurier,18,52,34.6,4,20,20,18,25,7,21,14,58,0,0.311688312,0.196560197,0.432432432,0.774193548,0.090909091,0.384615385,0.2,0.225806452,0.567567568,0.346153846
2019-2020,McMaster,21,75,28,9,29,31,9,9,16,25,16,60,Guelph,35,81,43.2,1,14,7.1,21,27,23,37,15,92,0,0.34,0.202634245,0.301886792,0.520833333,0.12,0.438271605,0.176720075,0.479166667,0.698113208,0.259259259
2019-2020,Nipissing,20,62,32.3,5,23,21.7,6,12,10,27,22,51,Western,32,78,41,10,22,45.5,5,12,14,29,11,79,0,0.362903226,0.277497477,0.256410256,0.658536585,0.096774194,0.474358974,0.137020429,0.341463415,0.743589744,0.064102564
2019-2020,Ontario Tech,13,53,24.5,2,14,14.3,14,18,10,26,16,42,Carleton,25,66,37.9,4,12,33.3,15,25,15,24,12,69,0,0.264150943,0.239091452,0.294117647,0.634146341,0.264150943,0.409090909,0.162162162,0.365853659,0.705882353,0.227272727
2019-2020,Queens,25,62,40.3,12,23,52.2,19,25,9,27,14,81,Ottawa,28,65,43.1,10,23,43.5,9,10,9,29,19,75,1,0.5,0.179487179,0.236842105,0.75,0.306451613,0.507692308,0.23929471,0.25,0.763157895,0.138461538
2019-2020,Toronto,15,68,22.1,3,23,13,14,18,12,25,13,47,Windsor,30,71,42.3,8,22,36.4,18,24,19,41,7,86,0,0.242647059,0.16900676,0.226415094,0.568181818,0.205882353,0.478873239,0.100632547,0.431818182,0.773584906,0.253521127
2019-2020,Laurentian,22,60,36.7,12,27,44.4,15,20,7,32,11,71,Nipissing,25,64,39.1,9,32,28.1,10,14,8,33,13,69,1,0.466666667,0.151098901,0.175,0.8,0.25,0.4609375,0.172964343,0.2,0.825,0.15625
2019-2020,York,30,68,44.1,9,28,32.1,15,19,15,24,19,84,Waterloo,22,61,36.1,11,27,40.7,17,28,13,16,22,72,1,0.507352941,0.236436038,0.483870968,0.648648649,0.220588235,0.450819672,0.267249757,0.351351351,0.516129032,0.278688525
2019-2020,Algoma,17,44,38.6,9,21,42.9,14,22,1,18,18,57,Carleton,29,72,40.3,8,21,38.1,12,15,15,24,11,78,0,0.488636364,0.25466893,0.04,0.545454545,0.318181818,0.458333333,0.147453083,0.454545455,0.96,0.166666667
2019-2020,Brock,23,74,31.1,9,31,29,13,17,25,27,17,68,Lakehead,19,64,29.7,5,25,20,8,15,15,21,16,51,1,0.371621622,0.231355471,0.543478261,0.642857143,0.175675676,0.3359375,0.223463687,0.357142857,0.456521739,0.125
2019-2020,Guelph,26,81,32.1,6,23,26.1,16,20,21,27,18,74,Ottawa,29,74,39.2,7,23,30.4,12,15,14,27,15,77,0,0.358024691,0.207373272,0.4375,0.658536585,0.197530864,0.439189189,0.183823529,0.341463415,0.5625,0.162162162
2019-2020,Toronto,17,53,32.1,5,17,29.4,8,13,10,14,19,47,York,19,48,39.6,2,11,18.2,12,15,12,25,28,52,0,0.367924528,0.280567041,0.285714286,0.538461538,0.150943396,0.416666667,0.396600567,0.461538462,0.714285714,0.25
2019-2020,Western,31,78,39.7,5,15,33.3,20,27,17,39,20,87,Queen's,24,76,31.6,7,27,25.9,9,16,6,27,18,64,1,0.429487179,0.215331611,0.386363636,0.866666667,0.256410256,0.361842105,0.189393939,0.133333333,0.613636364,0.118421053
2019-2020,Waterloo,22,68,32.4,6,22,27.3,16,28,12,32,19,66,Laurentian,12,54,22.2,1,24,4.2,20,33,8,26,18,45,1,0.367647059,0.217590472,0.315789474,0.8,0.235294118,0.231481481,0.229240958,0.2,0.684210526,0.37037037
2019-2020,Windsor,35,79,44.3,13,35,37.1,8,15,14,31,9,91,Ontario Tech,17,55,30.9,1,13,7.7,9,20,8,24,22,44,1,0.525316456,0.111662531,0.368421053,0.794871795,0.101265823,0.318181818,0.28277635,0.205128205,0.631578947,0.163636364
2019-2020,Wilfrid Laurier,24,78,30.8,8,26,30.8,19,25,17,35,18,75,Nipissing,25,80,31.2,12,36,33.3,11,17,9,32,18,73,1,0.358974359,0.2,0.346938776,0.795454545,0.243589744,0.3875,0.186567164,0.204545455,0.653061224,0.1375
