Year,Home,hFGM,hFGA,hFGpercent,h3PM,h3PA,h3Ppercent,hFTM,hFTA,hOREB,hDREB,hTO,hPoints,Away,aFGM,aFGA,aFGpercent,a3PM,a3PA,a3Ppercent,aFTM,aFTA,aOREB,aDREB,aTO,aPoints,HTWon,heFG,hTOV,hORB,hDRB,hFTF,aeFG,aTOV,aORB,aDRB,aFTF
2015-2016,Brock,32,81,39.5,9,35,25.7,12,21,23,31,15,85,Nipissing,16,53,30.2,6,21,28.6,11,19,9,30,28,49,1,0.450617284,0.182392996,0.433962264,0.775,0.148148148,0.358490566,0.348432056,0.225,0.566037736,0.20754717
2015-2016,Carleton,34,75,45.3,4,15,26.7,12,15,23,32,11,84,Waterloo,11,47,23.4,1,13,7.7,9,11,5,16,27,32,1,0.48,0.158045977,0.58974359,0.864864865,0.16,0.244680851,0.365655471,0.135135135,0.41025641,0.191489362
2015-2016,Lakehead,28,75,37.3,9,28,32.1,9,11,20,25,23,74,Toronto,26,69,37.7,4,20,20,13,21,13,22,19,69,1,0.433333333,0.27764365,0.476190476,0.657894737,0.12,0.405797101,0.225546059,0.342105263,0.523809524,0.188405797
2015-2016,McMaster,32,75,42.7,7,26,26.9,13,14,19,36,19,84,Laurentian,15,63,23.8,4,24,16.7,10,15,10,17,23,44,1,0.473333333,0.234105471,0.527777778,0.782608696,0.173333333,0.26984127,0.278450363,0.217391304,0.472222222,0.158730159
2015-2016,Ottawa,21,60,35,8,16,50,18,21,8,27,15,68,Wilfrid Laurier,24,67,35.8,5,26,19.2,11,14,11,34,15,64,1,0.416666667,0.196747114,0.19047619,0.710526316,0.3,0.395522388,0.194401244,0.289473684,0.80952381,0.164179104
2015-2016,Western,24,68,35.3,3,20,15,13,18,10,13,12,64,Windsor,28,55,50.9,2,12,16.7,18,26,11,30,14,76,0,0.375,0.154004107,0.25,0.541666667,0.191176471,0.527272727,0.201612903,0.458333333,0.75,0.327272727
2015-2016,Brock,27,64,42.2,5,16,31.2,14,18,15,21,16,73,McMaster,32,70,45.7,7,14,50,12,15,19,23,16,83,0,0.4609375,0.219418541,0.394736842,0.525,0.21875,0.507142857,0.217391304,0.475,0.605263158,0.171428571
2015-2016,Wilfrid Laurier,30,69,43.5,5,19,26.3,7,10,14,39,17,72,Waterloo,22,77,28.6,4,22,18.2,5,11,11,26,11,53,1,0.471014493,0.222513089,0.35,0.78,0.101449275,0.311688312,0.134408602,0.22,0.65,0.064935065
2015-2016,Guelph,30,77,39,5,22,22.7,4,5,13,27,15,69,McMaster,26,63,41.3,8,19,42.1,11,15,5,22,14,71,0,0.422077922,0.184729064,0.371428571,0.84375,0.051948052,0.476190476,0.178117048,0.15625,0.628571429,0.174603175
2015-2016,Laurentian,16,53,30.2,8,29,27.6,15,29,3,22,17,55,Carleton,26,66,39.4,8,19,42.1,15,23,16,33,16,75,0,0.377358491,0.213139418,0.083333333,0.578947368,0.283018868,0.454545455,0.21019443,0.421052632,0.916666667,0.227272727
2015-2016,Nipissing,17,48,35.4,6,16,37.5,19,24,7,14,23,59,Ottawa,32,72,44.4,11,22,50,5,8,15,15,12,80,0,0.416666667,0.308476395,0.318181818,0.482758621,0.395833333,0.520833333,0.165471594,0.517241379,0.681818182,0.069444444
2015-2016,Queens,23,73,31.5,5,15,33.3,10,16,13,34,19,61,Ryerson,27,78,34.6,2,12,16.7,10,16,14,34,16,66,0,0.349315068,0.220827522,0.276595745,0.708333333,0.136986301,0.358974359,0.183823529,0.291666667,0.723404255,0.128205128
2015-2016,Western,24,62,38.7,6,18,33.3,17,23,11,22,16,71,Lakehead,31,73,42.5,6,23,26.1,11,21,20,21,16,79,0,0.435483871,0.20746888,0.34375,0.523809524,0.274193548,0.465753425,0.204498978,0.476190476,0.65625,0.150684932
2015-2016,York,25,71,35.2,4,17,23.5,9,18,16,25,23,63,Toronto,28,66,42.4,5,15,33.3,15,24,22,29,19,76,0,0.38028169,0.267690875,0.355555556,0.531914894,0.126760563,0.462121212,0.25829255,0.468085106,0.644444444,0.227272727
2015-2016,Guelph,20,58,34.5,4,14,28.6,13,15,4,42,16,57,Brock,17,66,25.8,5,19,26.3,9,13,2,29,14,48,1,0.379310345,0.208877285,0.121212121,0.954545455,0.224137931,0.295454545,0.16722408,0.045454545,0.878787879,0.136363636
2015-2016,Laurentian,16,49,32.7,5,24,20.8,14,21,4,21,17,51,Ottawa,18,59,30.5,11,27,40.7,12,16,14,26,22,59,0,0.37755102,0.238629983,0.133333333,0.6,0.285714286,0.398305085,0.297136683,0.4,0.866666667,0.203389831
2015-2016,Nipissing,12,32,37.5,5,9,55.6,14,18,3,24,32,43,Carleton,23,76,30.3,6,25,24,7,15,20,11,14,59,0,0.453125,0.464306442,0.214285714,0.545454545,0.4375,0.342105263,0.182767624,0.454545455,0.785714286,0.092105263
2015-2016,Queens,24,69,34.8,8,23,34.8,14,20,20,32,26,70,Toronto,24,63,38.1,5,20,25,22,30,11,21,24,75,0,0.405797101,0.31026253,0.487804878,0.744186047,0.202898551,0.420634921,0.269058296,0.255813953,0.512195122,0.349206349
2015-2016,Western,23,68,33.8,5,25,20,8,12,10,35,18,59,Algoma,18,61,29.5,5,21,23.8,8,12,6,30,17,49,1,0.375,0.221456693,0.25,0.853658537,0.117647059,0.336065574,0.219979296,0.146341463,0.75,0.131147541
2015-2016,Windsor,24,73,32.9,8,19,42.1,14,20,12,27,12,70,Lakehead,23,69,33.3,5,21,23.8,4,4,8,26,16,55,1,0.383561644,0.146699267,0.315789474,0.771428571,0.191780822,0.369565217,0.203148807,0.228571429,0.684210526,0.057971014
2015-2016,York,23,68,33.8,2,21,9.5,5,12,17,19,22,53,Ryerson,24,67,35.8,5,17,29.4,14,18,20,22,23,67,0,0.352941176,0.281042412,0.435897436,0.487179487,0.073529412,0.395522388,0.295174538,0.512820513,0.564102564,0.208955224
2015-2016,Windsor,29,74,39.2,5,18,27.8,11,12,21,26,21,74,Algoma,12,53,22.6,4,19,21.1,13,16,7,17,22,41,1,0.425675676,0.264883956,0.552631579,0.787878788,0.148648649,0.264150943,0.293176972,0.212121212,0.447368421,0.245283019
2016-2017,Lakehead,26,61,42.6,4,15,26.7,10,24,8,24,19,66,Algoma,19,63,30.2,6,19,31.6,11,16,10,19,21,55,1,0.459016393,0.230135659,0.296296296,0.705882353,0.163934426,0.349206349,0.259131293,0.294117647,0.703703704,0.174603175
2016-2017,Western,24,58,41.4,3,11,27.3,9,15,12,26,16,60,Guelph,17,56,30.4,3,19,15.8,6,8,6,21,13,43,1,0.439655172,0.233236152,0.363636364,0.8125,0.155172414,0.330357143,0.195429946,0.1875,0.636363636,0.107142857
2016-2017,Waterloo,29,73,39.7,9,25,36,1,3,17,36,29,68,Toronto,21,73,28.8,7,31,22.6,3,10,10,16,16,52,1,0.45890411,0.335959222,0.515151515,0.782608696,0.01369863,0.335616438,0.191846523,0.217391304,0.484848485,0.04109589
2016-2017,Wilfrid Laurier,27,71,38,7,19,36.8,7,11,11,21,11,68,Ryerson,26,70,37.1,3,11,27.3,11,19,22,32,22,66,1,0.429577465,0.145042194,0.255813953,0.488372093,0.098591549,0.392857143,0.280755487,0.511627907,0.744186047,0.157142857
2016-2017,Laurentian,21,62,33.9,10,27,37,12,15,7,26,9,64,Western,28,58,48.3,4,16,25,12,20,6,30,11,72,0,0.419354839,0.127478754,0.189189189,0.8125,0.193548387,0.517241379,0.153203343,0.1875,0.810810811,0.206896552
2016-2017,McMaster,24,80,30,3,16,18.8,12,14,19,21,13,63,Lakehead,25,59,42.4,5,16,31.2,3,8,10,28,22,58,1,0.31875,0.162175649,0.404255319,0.677419355,0.15,0.466101695,0.295222759,0.322580645,0.595744681,0.050847458
2016-2017,Nipissing,13,46,28.3,3,15,20,10,17,5,15,26,39,Windsor,31,65,47.7,8,19,42.1,11,20,16,23,17,81,0,0.315217391,0.349087003,0.178571429,0.483870968,0.217391304,0.538461538,0.227272727,0.516129032,0.821428571,0.169230769
2016-2017,Toronto,16,57,28.1,1,12,8.3,9,10,10,28,13,42,Ryerson,20,71,28.2,3,17,17.6,12,18,22,29,18,55,0,0.289473684,0.201863354,0.256410256,0.56,0.157894737,0.302816901,0.240256273,0.44,0.743589744,0.169014085
2016-2017,Wilfrid Laurier,25,81,30.9,5,26,19.2,14,22,15,35,9,69,Algoma,20,76,26.3,6,25,24,7,10,13,34,17,53,1,0.339506173,0.106282475,0.306122449,0.729166667,0.172839506,0.302631579,0.201421801,0.270833333,0.693877551,0.092105263
2016-2017,York,20,68,29.4,3,14,21.4,11,11,16,14,22,54,Queen's,33,79,41.8,2,7,28.6,17,22,24,27,19,85,0,0.316176471,0.279046169,0.372093023,0.368421053,0.161764706,0.430379747,0.227055449,0.631578947,0.627906977,0.215189873
2016-2017,Brock,25,79,31.6,4,15,26.7,13,18,16,33,12,67,Toronto,17,62,27.4,3,11,27.3,12,23,23,43,25,49,1,0.341772152,0.1447178,0.271186441,0.589285714,0.164556962,0.298387097,0.33729088,0.410714286,0.728813559,0.193548387
2016-2017,Guelph,18,66,27.3,2,16,12.5,9,15,13,26,23,47,Queen's,24,81,29.6,0,15,0,15,18,21,27,18,63,0,0.287878788,0.278450363,0.325,0.553191489,0.136363636,0.296296296,0.209497207,0.446808511,0.675,0.185185185
2016-2017,Laurentian,18,50,36,5,15,33.3,6,13,5,21,12,47,Windsor,24,67,35.8,4,21,19,16,23,16,25,11,68,0,0.41,0.191326531,0.166666667,0.567567568,0.12,0.388059701,0.152523572,0.432432432,0.833333333,0.23880597
2016-2017,McMaster,26,67,38.8,4,19,21.1,19,22,16,21,20,75,Lakehead,27,66,40.9,5,22,22.7,6,12,15,22,26,65,1,0.417910448,0.24789291,0.421052632,0.583333333,0.28358209,0.446969697,0.315994166,0.416666667,0.578947368,0.090909091
2016-2017,Nipissing,24,57,42.1,11,23,47.8,15,19,10,16,16,74,Western,29,53,54.7,10,23,43.5,21,34,11,17,21,89,0,0.51754386,0.224215247,0.37037037,0.592592593,0.263157895,0.641509434,0.269368907,0.407407407,0.62962963,0.396226415
2016-2017,Wilfrid Laurier,26,80,32.5,9,26,34.6,17,25,15,21,10,78,Algoma,26,55,47.3,13,25,52,9,10,4,27,22,74,1,0.38125,0.11627907,0.357142857,0.84,0.2125,0.590909091,0.284237726,0.16,0.642857143,0.163636364
2016-2017,McMaster,32,69,46.4,10,20,50,12,12,10,30,10,86,Brock,22,67,32.8,0,5,0,7,14,13,17,10,51,1,0.536231884,0.13462574,0.37037037,0.697674419,0.173913043,0.328358209,0.142531357,0.302325581,0.62962963,0.104477612
2016-2017,Windsor,34,72,47.2,9,26,34.6,12,15,12,24,9,89,Guelph,18,53,34,1,8,12.5,5,13,5,22,26,42,1,0.534722222,0.119047619,0.352941176,0.827586207,0.166666667,0.349056604,0.326141495,0.172413793,0.647058824,0.094339623
2016-2017,Algoma,21,52,40.4,10,20,50,16,22,4,39,16,68,Carleton,18,66,27.3,4,20,20,17,25,14,20,10,57,1,0.5,0.217155266,0.166666667,0.735849057,0.307692308,0.303030303,0.136986301,0.264150943,0.833333333,0.257575758
2016-2017,Lakehead,29,60,48.3,11,26,42.3,2,4,9,18,16,71,Western,32,67,47.8,6,22,27.3,6,15,15,19,16,76,0,0.575,0.232693426,0.321428571,0.545454545,0.033333333,0.52238806,0.214477212,0.454545455,0.678571429,0.089552239
