Team,Opponent,Result,Game Score,3PTM,3PTA,3Pt%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,PF,A,TO,Blk,Stl,Pts
Toronto,Carleton,Loss,39-93,6,30,20,13,62,21,7,13,53.8,10,21,31,21,5,17,1,6,39
Toronto,Ottawa,Loss,48-79,5,18,27.8,15,45,33.3,13,17,76.5,9,30,39,19,6,26,1,6,48
Toronto,Laurier,Loss,52-87,4,32,12.5,16,64,25,16,21,76.2,6,29,35,18,8,22,4,6,52
Toronto,Waterloo,Loss,45-66,7,25,28,13,55,23.6,12,22,54.5,10,17,27,24,8,19,1,11,45
Western,Windsor,Loss,51-64,4,19,21.1,19,63,30.2,9,12,75,6,25,31,17,15,16,2,12,51
Western,Algoma,Win,82-31,7,26,26.9,28,84,33.3,19,30,63.3,22,34,56,10,18,5,1,18,82
Western,Algoma,Win,60-44,9,38,23.7,22,77,28.6,7,13,53.8,20,33,53,9,17,4,2,9,60
Western,Carleton,Loss,46-72,5,25,20,14,59,23.7,13,19,68.4,6,25,31,18,5,16,6,0,46
Western,Ottawa,Loss,54-67,3,14,21.4,20,62,32.3,11,12,91.7,7,31,38,12,10,6,2,9,54
Western,York,Win,80-67,5,22,22.7,25,67,37.3,25,33,75.8,6,26,32,19,10,15,5,12,80
Western,McMaster,Loss,73-84,6,26,23.1,28,77,36.4,11,21,52.4,14,25,39,16,17,22,0,11,73
Western,Lakehead,Win,66-56,6,18,33.3,27,76,35.5,6,11,54.5,13,24,37,14,19,10,2,11,66
Western,Windsor,Loss,56-59,6,24,25,21,67,31.3,8,13,61.5,13,25,38,21,11,19,4,4,56
Western,Laurier,Loss,55-60,4,22,18.2,22,67,32.8,7,18,38.9,11,29,40,18,17,10,2,13,55
Western,Waterloo,Win,70-64,7,25,28,22,59,37.3,19,26,73.1,7,28,35,21,10,13,5,4,70
Western,Toronto,Win,65-61,6,31,19.4,20,72,27.8,19,28,67.9,11,25,36,12,15,2,3,11,65
Western,Toronto Metropolitan,Win,64-54,6,28,21.4,22,66,33.3,14,17,82.4,12,14,26,10,19,2,2,9,64
Western,Nipissing,Win,77-70,8,28,28.6,30,75,40,9,14,64.3,15,28,43,21,20,14,6,6,77
Western,Laurentian,Win,76-38,8,21,38.1,28,62,45.2,12,19,63.2,7,32,39,12,12,16,8,12,76
Western,Queen's,Loss,58-88,5,20,25,23,68,33.8,7,12,58.3,8,26,34,13,16,13,3,6,58
Western,Ontario Tech,Win,78-51,9,26,34.6,31,69,44.9,7,8,87.5,12,29,41,17,21,16,3,12,78
Western,Guelph,Loss,71-77,8,20,40,24,66,36.4,15,19,78.9,9,29,38,10,16,26,2,9,71
Western,Brock,Loss,58-65,4,28,14.3,21,66,31.8,12,16,75,14,21,35,15,13,17,1,9,58
Western,Guelph,Win,69-62,7,23,30.4,22,67,32.8,18,32,56.2,16,29,45,17,11,18,2,12,69
Western,Waterloo,Loss,45-52,5,20,25,16,63,25.4,8,11,72.7,6,25,31,16,7,16,3,9,45
Western,Laurier,Loss,68-79,8,24,33.3,27,63,42.9,6,13,46.2,5,15,20,14,14,17,8,13,68
Western,Toronto Metropolitan,Loss,54-66,5,21,23.8,22,63,34.9,5,8,62.5,13,29,42,13,8,22,6,7,54
Laurier,McMaster,Loss,75-80,11,30,36.7,24,73,32.9,16,19,84.2,20,28,48,22,13,31,1,12,75
Laurier,Windsor,Loss,61-79,7,28,25,23,63,36.5,8,11,72.7,6,17,23,15,5,19,3,9,61
Laurier,Algoma,Win,66-36,7,28,25,23,62,37.1,13,20,65,12,30,42,7,13,17,2,14,66
Laurier,Algoma,Win,75-33,9,26,34.6,26,61,42.6,14,22,63.6,10,24,34,11,11,13,5,8,75
Laurier,Laurentian,Win,68-48,8,29,27.6,19,62,30.6,22,26,84.6,11,21,32,22,8,16,2,18,68
Laurier,Nipissing,Win,75-46,6,25,24,29,67,43.3,11,19,57.9,14,34,48,16,13,21,5,16,75
Laurier,Guelph,Loss,52-68,4,22,18.2,20,68,29.4,8,10,80,10,18,28,13,11,17,0,8,52
Laurier,Guelph,Win,61-59,6,20,30,20,58,34.5,15,19,78.9,6,28,34,13,11,26,2,7,61
Laurier,Toronto Metropolitan,Loss,55-66,9,32,28.1,22,76,28.9,2,6,33.3,19,26,45,15,14,14,1,9,55
Laurier,Brock,Win,61-60,10,34,29.4,19,62,30.6,13,17,76.5,7,21,28,12,13,12,2,12,61
Laurier,Western,Win,60-55,6,21,28.6,20,60,33.3,14,19,73.7,6,23,29,17,11,5,0,3,60
Laurier,Waterloo,Loss,57-69,8,20,40,25,54,46.3,11,20,55,9,29,38,14,13,25,5,13,69
Laurier,Waterloo,Loss,65-70,6,32,18.8,21,65,32.3,17,23,73.9,11,22,33,20,12,15,5,9,65
Laurier,Lakehead,Win,64-37,2,18,11.1,22,67,32.8,18,26,69.2,13,26,39,18,12,13,2,11,64
Laurier,Carleton,Loss,39-82,3,25,12,14,68,20.6,8,15,53.3,9,15,24,14,7,15,1,9,39
Laurier,Ottawa,Loss,42-80,2,17,11.8,14,49,28.6,12,15,80,6,19,25,12,7,24,2,11,42
